badge_id,name,issuer,description,criteria,alignment,employmentOutcome,skillsValidated,competency,learningOpportunity,related_badges
B00011,Machine Learning Pro,Udacity,Machine Learning Pro badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,['UI/UX'],['Python'],Cloud Computing Course,"['B02934', 'B03380']"
B00012,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Data Analysis']","['DevOps', 'Data Analysis']",Cloud Computing Course,"['B08115', 'B01279']"
B00013,AI Specialist,IBM,AI Specialist badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Software Engineer roles,['SQL'],"['Deep Learning', 'Creativity']",Data Science Bootcamp,[]
B00014,Cybersecurity Professional,Google,Cybersecurity Professional badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,"['Python', 'Cybersecurity']","['Machine Learning', 'Creativity', 'Analytical Skills']",Data Science Bootcamp,['B09911']
B00015,Cybersecurity Professional,IBM,Cybersecurity Professional badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,"['Data Analysis', 'Python']","['Machine Learning', 'Problem Solving', 'Data Analysis']",Intro to Machine Learning,[]
B00016,AI Specialist,Coursera,AI Specialist badge issued by Coursera,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Machine Learning Engineer positions,['UI/UX'],['Data Analysis'],Intro to Machine Learning,['B02622']
B00017,DevOps Engineer,edX,DevOps Engineer badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'DevOps', 'UI/UX']","['Cybersecurity', 'Machine Learning']",Intro to Machine Learning,[]
B00018,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Cloud Computing', 'Python']","['Cybersecurity', 'Creativity']",Intro to Machine Learning,"['B09635', 'B07997']"
B00019,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'Python', 'Cloud Computing']",['Deep Learning'],Cloud Computing Course,"['B02054', 'B05650']"
B00020,UI/UX Designer,Coursera,UI/UX Designer badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,['Cybersecurity'],['Cybersecurity'],Big Data Analysis Program,"['B07553', 'B05945']"
B00021,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,['Deep Learning'],"['Cloud Computing', 'Problem Solving', 'Cybersecurity']",Big Data Analysis Program,"['B02838', 'B07348']"
B00022,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,['Cloud Computing'],"['Leadership', 'Problem Solving', 'Cloud Computing']",Cloud Computing Course,"['B03817', 'B07642']"
B00023,Cybersecurity Professional,edX,Cybersecurity Professional badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Software Engineer roles,"['Python', 'DevOps', 'SQL']",['Deep Learning'],Big Data Analysis Program,[]
B00024,Python Certification,Udacity,Python Certification badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['DevOps', 'Cybersecurity', 'Cloud Computing']","['Problem Solving', 'SQL']",Data Science Bootcamp,['B00610']
B00025,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['SQL', 'Data Analysis']",['Python'],Data Science Bootcamp,['B01252']
B00026,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'SQL', 'Machine Learning']","['SQL', 'Deep Learning']",Data Science Bootcamp,"['B00925', 'B06791']"
B00027,Deep Learning Master,edX,Deep Learning Master badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Python']","['SQL', 'Problem Solving']",AI Professional Course,['B00607']
B00028,Machine Learning Pro,Coursera,Machine Learning Pro badge issued by Coursera,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Data Analysis', 'UI/UX']",['SQL'],Data Science Bootcamp,['B02653']
B00029,Python Certification,edX,Python Certification badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Cloud Computing', 'Machine Learning', 'Cybersecurity']",['Python'],Big Data Analysis Program,[]
B00030,AI Specialist,Coursera,AI Specialist badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'SQL', 'Data Analysis']","['SQL', 'Data Analysis', 'Problem Solving']",Data Science Bootcamp,['B00304']
B00031,Deep Learning Master,IBM,Deep Learning Master badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,['Machine Learning'],"['Data Analysis', 'UI/UX']",Data Science Bootcamp,"['B05487', 'B08829']"
B00032,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['SQL', 'Machine Learning', 'Cloud Computing']",['Leadership'],Intro to Machine Learning,[]
B00033,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'Cybersecurity', 'Deep Learning']","['Leadership', 'UI/UX', 'Deep Learning']",Data Science Bootcamp,['B01315']
B00034,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Python', 'Data Analysis', 'Machine Learning']","['Teamwork', 'Cloud Computing', 'Data Analysis']",Data Science Bootcamp,[]
B00035,Cloud Computing Guru,IBM,Cloud Computing Guru badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'SQL']","['Cybersecurity', 'DevOps', 'Problem Solving']",Cloud Computing Course,[]
B00036,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['DevOps', 'Cloud Computing']",['Machine Learning'],Data Science Bootcamp,"['B01712', 'B04775']"
B00037,Cybersecurity Professional,IBM,Cybersecurity Professional badge issued by IBM,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,"['Cloud Computing', 'Machine Learning']","['UI/UX', 'Data Analysis', 'Deep Learning']",Big Data Analysis Program,[]
B00038,AI Specialist,edX,AI Specialist badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,['Python'],"['Machine Learning', 'Creativity']",AI Professional Course,['B02573']
B00039,Cybersecurity Professional,Udacity,Cybersecurity Professional badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,"['DevOps', 'Cloud Computing', 'Data Analysis']",['Cybersecurity'],Intro to Machine Learning,[]
B00040,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'Deep Learning']","['Deep Learning', 'DevOps']",Intro to Machine Learning,['B01029']
B00041,Cybersecurity Professional,IBM,Cybersecurity Professional badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['Python', 'Cybersecurity', 'SQL']",['Python'],Intro to Machine Learning,"['B06318', 'B03123']"
B00042,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'Machine Learning', 'UI/UX']",['UI/UX'],AI Professional Course,[]
B00043,AI Specialist,edX,AI Specialist badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Data Analyst roles,"['Data Analysis', 'Machine Learning']",['DevOps'],Cloud Computing Course,[]
B00044,Cybersecurity Professional,IBM,Cybersecurity Professional badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'Cloud Computing']",['Machine Learning'],Data Science Bootcamp,"['B09328', 'B05964']"
B00045,Cloud Computing Guru,edX,Cloud Computing Guru badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,['DevOps'],"['Machine Learning', 'Data Analysis', 'DevOps']",Big Data Analysis Program,"['B03532', 'B09380']"
B00046,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'DevOps']",['Cloud Computing'],Data Science Bootcamp,['B04454']
B00047,Big Data Analyst,IBM,Big Data Analyst badge issued by IBM,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Software Engineer roles,"['UI/UX', 'Cybersecurity']",['Cloud Computing'],Intro to Machine Learning,"['B01506', 'B04582']"
B00048,AI Specialist,Google,AI Specialist badge issued by Google,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['UI/UX', 'Deep Learning', 'Python']",['Creativity'],Data Science Bootcamp,[]
B00049,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Software Engineer roles,"['Cybersecurity', 'UI/UX', 'Deep Learning']","['SQL', 'Cloud Computing']",Data Science Bootcamp,"['B07684', 'B05985']"
B00050,Cloud Computing Guru,IBM,Cloud Computing Guru badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Cloud Computing']","['Problem Solving', 'Cybersecurity']",AI Professional Course,[]
B00051,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Cybersecurity', 'Data Analysis']","['DevOps', 'Problem Solving']",Cloud Computing Course,['B01128']
B00052,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'Python']",['Cybersecurity'],Data Science Bootcamp,"['B02248', 'B07347']"
B00053,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Data Analyst roles,"['Cloud Computing', 'SQL']",['Leadership'],Intro to Machine Learning,"['B02949', 'B06323']"
B00054,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,['SQL'],['Machine Learning'],Intro to Machine Learning,['B02986']
B00055,Cybersecurity Professional,Google,Cybersecurity Professional badge issued by Google,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['Python', 'Cloud Computing']","['Machine Learning', 'Deep Learning']",AI Professional Course,['B07375']
B00056,Python Certification,edX,Python Certification badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['DevOps', 'Deep Learning']","['Teamwork', 'DevOps']",Big Data Analysis Program,['B00317']
B00057,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,['SQL'],['SQL'],Cloud Computing Course,['B00607']
B00058,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,"['DevOps', 'Data Analysis', 'Cybersecurity']","['DevOps', 'Teamwork']",Data Science Bootcamp,['B04040']
B00059,Python Certification,Coursera,Python Certification badge issued by Coursera,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'Machine Learning']","['Cloud Computing', 'Deep Learning', 'Creativity']",AI Professional Course,['B00951']
B00060,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'UI/UX']","['Deep Learning', 'UI/UX']",Big Data Analysis Program,"['B07928', 'B01950']"
B00061,Machine Learning Pro,Google,Machine Learning Pro badge issued by Google,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['Cloud Computing', 'UI/UX', 'Deep Learning']","['SQL', 'Analytical Skills', 'Problem Solving']",Data Science Bootcamp,['B01318']
B00062,UI/UX Designer,Coursera,UI/UX Designer badge issued by Coursera,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,['Cloud Computing'],"['Creativity', 'DevOps']",Data Science Bootcamp,[]
B00063,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'UI/UX', 'Data Analysis']","['DevOps', 'Analytical Skills']",Intro to Machine Learning,['B06294']
B00064,Python Certification,IBM,Python Certification badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'UI/UX']",['Cloud Computing'],Cloud Computing Course,['B00272']
B00065,AI Specialist,IBM,AI Specialist badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,['Cloud Computing'],"['SQL', 'Data Analysis']",Data Science Bootcamp,[]
B00066,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Cloud Computing', 'Python', 'Cybersecurity']",['Teamwork'],Data Science Bootcamp,['B08842']
B00067,Data Science Expert,Coursera,Data Science Expert badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'UI/UX']",['Deep Learning'],Data Science Bootcamp,['B01094']
B00068,Cloud Computing Guru,edX,Cloud Computing Guru badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'Cloud Computing']","['Python', 'Problem Solving']",Cloud Computing Course,['B03015']
B00069,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'UI/UX', 'DevOps']","['Leadership', 'Cloud Computing', 'Python']",Cloud Computing Course,[]
B00070,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'Machine Learning']","['Analytical Skills', 'DevOps', 'Creativity']",AI Professional Course,"['B05624', 'B06358']"
B00071,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'Cloud Computing', 'Deep Learning']","['SQL', 'Problem Solving']",AI Professional Course,"['B08395', 'B03984']"
B00072,Deep Learning Master,Google,Deep Learning Master badge issued by Google,Passing all module assessments,Professional Alignment,Eligible for Software Engineer roles,"['DevOps', 'Cybersecurity']","['Teamwork', 'Cybersecurity', 'SQL']",Cloud Computing Course,['B03473']
B00073,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['Python', 'Cloud Computing']","['Data Analysis', 'Cloud Computing', 'UI/UX']",AI Professional Course,[]
B00074,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,['Cloud Computing'],"['Cloud Computing', 'Problem Solving', 'Machine Learning']",AI Professional Course,"['B01954', 'B05076']"
B00075,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,"['Cloud Computing', 'Data Analysis']",['SQL'],AI Professional Course,"['B04316', 'B08891']"
B00076,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,['Machine Learning'],['Machine Learning'],AI Professional Course,"['B09014', 'B06456']"
B00077,Big Data Analyst,IBM,Big Data Analyst badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,"['Python', 'DevOps']","['DevOps', 'Cloud Computing']",Big Data Analysis Program,"['B00603', 'B00164']"
B00078,Deep Learning Master,IBM,Deep Learning Master badge issued by IBM,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,['Cybersecurity'],['Teamwork'],AI Professional Course,[]
B00079,Deep Learning Master,Coursera,Deep Learning Master badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,['Python'],"['Python', 'Deep Learning']",Big Data Analysis Program,[]
B00080,Data Science Expert,edX,Data Science Expert badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'Cybersecurity']",['Teamwork'],AI Professional Course,[]
B00081,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,"['Python', 'Machine Learning', 'DevOps']",['Cybersecurity'],Cloud Computing Course,[]
B00082,Cloud Computing Guru,Google,Cloud Computing Guru badge issued by Google,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,['Deep Learning'],"['Deep Learning', 'Python']",Big Data Analysis Program,[]
B00083,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Cloud Architect positions,['SQL'],"['Cybersecurity', 'Leadership', 'Python']",Big Data Analysis Program,['B06425']
B00084,AI Specialist,IBM,AI Specialist badge issued by IBM,Passing all module assessments,Industry Standard Alignment,Eligible for Cloud Architect positions,['SQL'],['Leadership'],Data Science Bootcamp,[]
B00085,Python Certification,edX,Python Certification badge issued by edX,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'Data Analysis']","['Problem Solving', 'Cybersecurity']",Intro to Machine Learning,['B03379']
B00086,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Cloud Architect positions,['UI/UX'],"['Python', 'Creativity', 'Leadership']",AI Professional Course,"['B06066', 'B03123']"
B00087,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,"['Deep Learning', 'SQL']","['Problem Solving', 'Analytical Skills']",Cloud Computing Course,[]
B00088,Python Certification,IBM,Python Certification badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,['Python'],['Analytical Skills'],Data Science Bootcamp,"['B03223', 'B00413']"
B00089,Python Certification,Coursera,Python Certification badge issued by Coursera,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Cloud Computing', 'UI/UX']",['UI/UX'],AI Professional Course,"['B07782', 'B08196']"
B00090,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,['Cloud Computing'],"['Deep Learning', 'Python']",Cloud Computing Course,"['B07455', 'B01875']"
B00091,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'UI/UX']","['Data Analysis', 'Leadership', 'UI/UX']",Cloud Computing Course,['B00224']
B00092,Data Science Expert,Google,Data Science Expert badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['Data Analysis', 'SQL', 'UI/UX']","['Problem Solving', 'SQL', 'Analytical Skills']",Cloud Computing Course,"['B00165', 'B06786']"
B00093,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'Machine Learning', 'SQL']","['Cloud Computing', 'Teamwork', 'Leadership']",Data Science Bootcamp,"['B04979', 'B02899']"
B00094,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Passing all module assessments,Academic Alignment,Eligible for Data Analyst roles,"['Cloud Computing', 'DevOps', 'Cybersecurity']","['DevOps', 'Data Analysis', 'Creativity']",Cloud Computing Course,"['B03912', 'B03666']"
B00095,Machine Learning Pro,edX,Machine Learning Pro badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,['Cybersecurity'],"['Cybersecurity', 'Deep Learning', 'Analytical Skills']",Big Data Analysis Program,['B09035']
B00096,Cybersecurity Professional,IBM,Cybersecurity Professional badge issued by IBM,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,['UI/UX'],"['Analytical Skills', 'Deep Learning', 'Python']",Cloud Computing Course,[]
B00097,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['Deep Learning', 'Cloud Computing']",['Teamwork'],Big Data Analysis Program,[]
B00098,AI Specialist,edX,AI Specialist badge issued by edX,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'DevOps']","['UI/UX', 'Problem Solving', 'Data Analysis']",AI Professional Course,"['B06873', 'B09595']"
B00099,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'DevOps']","['Deep Learning', 'DevOps', 'Cybersecurity']",Big Data Analysis Program,"['B04728', 'B08877']"
B00100,Cybersecurity Professional,edX,Cybersecurity Professional badge issued by edX,Passing all module assessments,Professional Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'UI/UX', 'Cloud Computing']",['DevOps'],Intro to Machine Learning,"['B08728', 'B01784']"
B00101,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'DevOps']",['Problem Solving'],Data Science Bootcamp,[]
B00102,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,['Data Analysis'],"['Teamwork', 'Leadership']",Intro to Machine Learning,[]
B00103,Data Science Expert,edX,Data Science Expert badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,['SQL'],['Problem Solving'],Intro to Machine Learning,['B00157']
B00104,Machine Learning Pro,Google,Machine Learning Pro badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'Data Analysis', 'SQL']","['Cybersecurity', 'Python', 'Data Analysis']",Big Data Analysis Program,['B05042']
B00105,AI Specialist,Google,AI Specialist badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Data Analysis', 'SQL']",['UI/UX'],Big Data Analysis Program,[]
B00106,Cybersecurity Professional,edX,Cybersecurity Professional badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'DevOps']",['Machine Learning'],Big Data Analysis Program,"['B05988', 'B07948']"
B00107,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'SQL']",['Machine Learning'],Intro to Machine Learning,"['B05110', 'B05788']"
B00108,Data Science Expert,Google,Data Science Expert badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'Python', 'Deep Learning']","['Python', 'UI/UX', 'DevOps']",AI Professional Course,"['B08749', 'B08132']"
B00109,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'DevOps', 'Cybersecurity']",['Cybersecurity'],Intro to Machine Learning,"['B05912', 'B06792']"
B00110,Data Science Expert,Coursera,Data Science Expert badge issued by Coursera,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'SQL', 'UI/UX']","['Creativity', 'Deep Learning']",Data Science Bootcamp,"['B08224', 'B08674']"
B00111,AI Specialist,Google,AI Specialist badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,['SQL'],"['Problem Solving', 'Machine Learning', 'Deep Learning']",Data Science Bootcamp,"['B04290', 'B07268']"
